title,text,rating,author,date,company,source_type,source_platform,search_keyword,url,collected_at
케이크 미션이 가끔 렉걸려요,케이크미션 하나깨면 다른영상이 뜨면서 물어보는데 어제 저녁에 갑자기 미션이 안끝나는거에요 다음표현보기 눌렀는데 다른영상은 뜨지만 그 내역이 안남아서 미션이 안깨졌어요 ㅠㅠ 에러 해결부탁드립니다,3,먼지공쥬,2025-04-23T02:11:25-07:00,cake,review,appstore,케이크,https://apps.apple.com/kr/app/id1350420987,2026-01-18T14:37:29.675064
긋긋,퀴즈풀기부터 조아여,5,mwamwaya,2025-04-22T01:10:22-07:00,cake,review,appstore,케이크,https://apps.apple.com/kr/app/id1350420987,2026-01-18T14:37:29.675064
UI가 깔끔해요,한 스테이지 당 문제 수도 적당하고 하트 소모할 때까지만 그날 그날 사용하는데 부담없이 쓰기 좋네요!,5,3주의용사,2025-04-14T07:18:54-07:00,cake,review,appstore,케이크,https://apps.apple.com/kr/app/id1350420987,2026-01-18T14:37:29.675064
Great app,5 stars for a great app!,5,Amalia Lee,2025-04-14T05:00:58-07:00,cake,review,appstore,케이크,https://apps.apple.com/kr/app/id1350420987,2026-01-18T14:37:29.675064
잘 사용하,영상 클립이 짧아서 간혹 어떤 상황에 영어 문장이 쓰인 것인지 알기 어렵습니다,4,서라랄아,2025-04-09T22:58:44-07:00,cake,review,appstore,케이크,https://apps.apple.com/kr/app/id1350420987,2026-01-18T14:37:29.675064
Cake,영어공부 할려고 찾아보다가 우연히 케이크라는 어플을 봤는데 열심히 공부 하면서 실력 향상이 될것 같네요^^,5,하니Tv,2025-04-05T04:51:24-07:00,cake,review,appstore,케이크,https://apps.apple.com/kr/app/id1350420987,2026-01-18T14:37:29.675064
영어 공부에 도움이 되는 앱!,"콘텐츠도 좋고 계속 업데이트
되서 애정하는 앱입니다!",5,23473@2,2025-03-31T06:58:11-07:00,cake,review,appstore,케이크,https://apps.apple.com/kr/app/id1350420987,2026-01-18T14:37:29.675064
영어~ 재밌게 하고 있어요,바쁜 하루 중에 잠시 쉬는 시간에 이어폰 꼽고 가만히 듣습니다~ 영어공부 이 케이크로밖에 안하는거 같아요~  큰 부담없이 소소하게 잘 듣고 있습니다,5,금욜이당~,2025-03-25T16:13:27-07:00,cake,review,appstore,케이크,https://apps.apple.com/kr/app/id1350420987,2026-01-18T14:37:29.675064
건의사항,"저장된 문장을 학습화면 내에서 제거가 가능 했으면 좋겠습니다. 

충분히 익혔다고 생각 되는 문장들을 학습 화면에서 빠져 나와서 일일이 찾아가며 제거 하기가 너무 힘들어요.

부탁드리겠습니다.",5,믄돌,2025-03-25T01:16:58-07:00,cake,review,appstore,케이크,https://apps.apple.com/kr/app/id1350420987,2026-01-18T14:37:29.675064
영어 공부계의 최고의 앱,습관적으로 영어를 공부하는데에 너무 좋아요! 쉐도잉 연습 제대로 되네요,5,영공열공,2025-03-23T03:41:07-07:00,cake,review,appstore,케이크,https://apps.apple.com/kr/app/id1350420987,2026-01-18T14:37:29.675064
좋아요,"옛날에 잠깐하다가 몇년만에 다시하는데 
예전에 열심히 하라고 알림해주고 
퀄리티 좋았던 감동 기억때문에
여전히 너무 좋게 생각드는 케이크",5,나는폰,2025-03-20T06:18:55-07:00,cake,review,appstore,케이크,https://apps.apple.com/kr/app/id1350420987,2026-01-18T14:37:29.675064
아직,시작도안했음,5,mang_du,2025-03-19T04:46:31-07:00,cake,review,appstore,케이크,https://apps.apple.com/kr/app/id1350420987,2026-01-18T14:37:29.675064
넘 좋아요,복습도 돼고 넘 재미있고 유익해요,5,아기스랍,2025-03-18T23:10:49-07:00,cake,review,appstore,케이크,https://apps.apple.com/kr/app/id1350420987,2026-01-18T14:37:29.675064
혹시,class 카테고리 케이크 plus를 써야 강의 들을 수 있게 바뀐건가요? 무료로는 아예 안되네..ㅠㅠㅠ,5,가사다자카마,2025-03-17T10:01:31-07:00,cake,review,appstore,케이크,https://apps.apple.com/kr/app/id1350420987,2026-01-18T14:37:29.675064
좋아요,좧아요,5,혜혜용,2025-03-17T05:30:44-07:00,cake,review,appstore,케이크,https://apps.apple.com/kr/app/id1350420987,2026-01-18T14:37:29.675064
Good,nothing better …… ^^,5,가을타는 잠신,2025-03-16T07:35:16-07:00,cake,review,appstore,케이크,https://apps.apple.com/kr/app/id1350420987,2026-01-18T14:37:29.675064
케이크굿,매이매일 잘 공부하고 있어요 굿굿,5,안녕히계세여엍ㅌ,2025-03-14T17:04:08-07:00,cake,review,appstore,케이크,https://apps.apple.com/kr/app/id1350420987,2026-01-18T14:37:29.675064
환불,환불 부탁드립니더ㅠㅠ,5,구독hh,2025-03-12T15:46:03-07:00,cake,review,appstore,케이크,https://apps.apple.com/kr/app/id1350420987,2026-01-18T14:37:29.675064
무료로 할 수 있는게 참 많아요,케이크는 다른 앱과 달리 무료로 가능한게 많아서 좋아여,5,곰쥴,2025-03-11T06:23:27-07:00,cake,review,appstore,케이크,https://apps.apple.com/kr/app/id1350420987,2026-01-18T14:37:29.675064
